danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Class
0.337,0.162,8,-18.071,1,0.0345,0.917,0.576,0.152,0.0887,82.256,419853,3,jazz
0.347,0.151,1,-13.445,1,0.0321,0.987,0.958,0.13,0.087,70.602,228404,4,jazz
0.487,0.259,2,-12.391,0,0.0386,0.897,0.778,0.0957,0.108,111.218,440513,4,jazz
0.445,0.216,8,-14.707,1,0.0503,0.967,0.914,0.149,0.237,109.969,119890,3,jazz
0.38,0.054,7,-21.941,1,0.037,0.964,0.687,0.151,0.181,134.176,311480,3,jazz
0.519,0.0591,0,-16.636,1,0.0368,0.959,0.876,0.137,0.142,60.165,468120,4,jazz
0.487,0.12,10,-20.964,1,0.04,0.892,0.853,0.0996,0.131,56.822,314763,4,jazz
0.539,0.207,8,-16.498,1,0.0458,0.898,0.636,0.222,0.259,122.03,498320,4,jazz
0.386,0.0481,2,-25.336,0,0.04,0.934,0.852,0.101,0.0714,148.305,474787,3,jazz
0.326,0.156,2,-14.116,0,0.0307,0.92,0.676,0.171,0.159,75.458,292444,4,jazz
0.421,0.0867,0,-18.732,1,0.037,0.871,0.429,0.115,0.07,95.438,265320,4,jazz
0.484,0.0231,0,-28.641,0,0.0423,0.75,0.853,0.0913,0.347,117.583,316747,1,jazz
0.333,0.0794,7,-17.612,1,0.0363,0.951,0.00389,0.0911,0.0568,96.666,284880,4,jazz
0.591,0.141,0,-23.536,1,0.039,0.945,0.865,0.0822,0.368,125.06,252773,4,jazz
0.442,0.124,3,-22.227,1,0.0388,0.92,0.605,0.21,0.2,65.003,408600,4,jazz
0.401,0.209,1,-17.161,0,0.0308,0.974,0.853,0.0905,0.075,72.415,265527,3,jazz
0.433,0.217,9,-13.799,1,0.0343,0.921,0.714,0.096,0.179,105.96,322080,3,jazz
0.475,0.0588,5,-17.464,0,0.0418,0.89,0.0238,0.129,0.241,115.642,206360,4,jazz
0.538,0.0687,2,-17.993,0,0.0371,0.967,0.461,0.0854,0.132,103.808,152107,4,jazz
