danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Class
0.505,0.532,3,-13.769,1,0.0698,0.919,0.841,0.298,0.158,107.895,297880,4,classical
0.34,0.0739,11,-19.376,0,0.0628,0.982,0.00604,0.0993,0.0461,110.244,373413,4,classical
0.296,0.0743,8,-23.038,1,0.0522,0.911,0.816,0.236,0.149,114.694,513280,4,classical
0.174,0.0201,0,-34.186,0,0.0499,0.989,0.0863,0.0987,0.0361,136.286,262253,3,classical
0.195,0.0139,5,-34.008,1,0.0433,0.792,0.0014,0.304,0.0348,104.943,965467,4,classical
0.262,0.113,4,-21.431,1,0.0506,0.978,0.855,0.0929,0.132,85.552,779213,4,classical
0.293,0.0664,10,-18.765,1,0.0536,0.994,0.18,0.0803,0.23,84.441,150027,4,classical
0.356,0.304,7,-13.199,1,0.0415,0.911,0.338,0.684,0.146,113.674,798760,4,classical
0.345,0.0366,4,-28.152,1,0.0362,0.993,0.937,0.126,0.171,137.465,172800,4,classical
0.26,0.0458,11,-22.942,1,0.0436,0.899,0.0313,0.302,0.0721,117.38,215760,4,classical
0.418,0.0226,8,-28.346,1,0.0349,0.992,0.908,0.125,0.0711,114.017,200320,3,classical
0.362,0.14,10,-23.129,1,0.0374,0.984,0.923,0.0984,0.45,154.35,476000,3,classical
0.175,0.0656,10,-22.5,1,0.0461,0.978,0.933,0.0931,0.0457,91.262,245400,3,classical
0.393,0.0402,7,-25.24,0,0.0439,0.994,0.888,0.0898,0.0628,68.804,133827,4,classical
0.208,0.016,5,-26.874,1,0.0393,0.971,0.852,0.101,0.0644,88.351,137000,4,classical
0.282,0.0228,8,-23.671,1,0.0361,0.994,0.851,0.109,0.0501,76.472,257179,3,classical
0.471,0.176,2,-18.587,0,0.0489,0.994,0.921,0.146,0.133,105.425,101000,3,classical
0.226,0.0884,10,-19.227,1,0.0402,0.978,0.894,0.137,0.0827,86.586,378645,4,classical
0.366,0.158,11,-22.576,0,0.0385,0.994,0.886,0.105,0.419,87.946,391133,4,classical
0.431,0.0773,4,-24.812,1,0.0382,0.957,0.812,0.187,0.0624,65.559,148533,4,classical
0.217,0.0563,1,-26.45,1,0.0406,0.988,0.895,0.119,0.037,143.527,180907,3,classical
0.366,0.0526,2,-23.922,0,0.0366,0.95,0.905,0.0977,0.195,80.921,146454,4,classical
0.159,0.00299,3,-38.709,1,0.0478,0.971,0.964,0.07,0.033,81.543,206147,3,classical
0.133,0.0133,6,-33.662,1,0.0431,0.976,0.896,0.0719,0.0505,74.315,465000,4,classical
0.317,0.0963,0,-24.798,1,0.0488,0.966,0.748,0.226,0.075,110.751,431280,4,classical
0.505,0.159,7,-11.235,0,0.0336,0.946,0.0127,0.212,0.196,59.385,295200,4,jazz
0.55,0.249,5,-15.919,0,0.0325,0.929,0.828,0.258,0.296,121.37,484627,4,jazz
0.47,0.156,2,-17.036,1,0.0399,0.623,0.187,0.104,0.059,118.176,394920,4,jazz
0.447,0.163,8,-14.835,1,0.0707,0.992,0.776,0.654,0.197,74.933,1004627,3,jazz
0.421,0.0161,2,-25.358,0,0.0374,0.81,0.0021,0.0978,0.16,110.926,337733,4,jazz
0.446,0.242,8,-14.152,1,0.0368,0.87,0.497,0.105,0.171,126.681,492080,4,jazz
0.326,0.0575,4,-16.5,1,0.0393,0.99,0.887,0.281,0.301,127.397,168667,5,jazz
0.526,0.17,9,-13.089,0,0.0411,0.823,0.777,0.114,0.18,117.414,322133,4,jazz
0.445,0.223,3,-17.402,1,0.0374,0.921,0.884,0.131,0.225,110.821,391707,4,jazz
0.445,0.0978,3,-26.924,1,0.0397,0.965,0.915,0.121,0.173,117.283,396520,4,jazz
0.533,0.148,0,-18.275,1,0.0329,0.924,0.932,0.112,0.108,63.637,221733,4,jazz
0.383,0.131,7,-17.764,1,0.033,0.761,0.194,0.0973,0.101,98.606,447280,4,jazz
0.484,0.0291,10,-23.363,1,0.0459,0.961,0.474,0.115,0.379,98.434,389893,4,jazz
0.388,0.0354,7,-25.766,1,0.0421,0.986,0.956,0.178,0.198,143.514,232046,4,jazz
0.569,0.117,5,-22.741,1,0.0446,0.846,0.852,0.0978,0.101,60.483,282320,4,jazz
0.364,0.114,1,-16.552,1,0.0333,0.857,0.635,0.0839,0.0575,117.715,317946,3,jazz
0.539,0.0678,0,-18.039,1,0.0468,0.967,0.168,0.114,0.263,124.105,294667,4,jazz
0.42,0.105,6,-20.502,1,0.035,0.868,0.587,0.0957,0.0985,99.873,336373,4,jazz
0.428,0.212,0,-15.442,0,0.032,0.971,0.73,0.169,0.314,98.096,294587,3,jazz
